WorkStream,WorkPackage,Start,End,PercentComplete,IsMilestone,MilestoneGroup
Planning,Define Scope,2024-01-01,05.01.2024,100,,
Planning,Create Project Plan,06.01.2024,2024-01-15,100,,PlanComplete
Planning,Planning Complete,2024-01-15,2024-01-15,100,TRUE,PlanComplete
Development,Feature A - Design,16.01.2024,2024-01-25,100,FALSE,FeatureA
Development,Feature A - Implement,26.01.2024,2024-02-10,75,FALSE,FeatureA
Development,Feature B - Design,01.02.2024,10.02.2024,100,,
Development,Feature B - Implement,11.02.2024,2024-02-28,30,,
Testing,Test Feature A,11.02.2024,2024-02-18,0,,
Testing,Test Feature B,01.03.2024,2024-03-10,0,,
Deployment,Prepare Deployment,11.03.2024,15.03.2024,0,,
Deployment,Deploy to Production,16.03.2024,16.03.2024,0,TRUE,
